domain,step
Singing,Work on breath control
Kite Making,Testing kite balance and flight characteristics
Perfume Bottle Design,Selecting glass material
Making Hand-Crocheted Market Bags,Create handles
Playing a Card Game (advanced), Develop bluffing strategies 
Manual roasting of vegetables,Preheat oven
Herbal Tea Blending,"Labeling tea blend with name, ingredients, and brewing instructions"
Hand cutting hair,Wet hair
Restaurant Service,Taking food orders
Fitness Training,Incorporating machines
Cob Building,Apply cob in layers
Leather Tooling,Embossing leather with textured tools or stamps
Making Custom Pet Beds,Design bed
Building a Hand-Crafted Doll Bed,Design bed
Travel Planning,Sharing itineraries with family
Making Handcrafted Cheese Presses,Design press
Restoring Antique Furniture,Clean and make repairs
Vehicle Maintenance,Detailing interiors
Crafting Decorative Metal Plant Stands,Add protective feet
Crafting Bespoke Wooden Plant Stands,Add protective feet
Hand-tufted Rugs,Finish back with fabric
Playing a Sport (advanced - specific sport - individual), Analyze your performance and make adjustments 
Graphic Design,Attending design conferences
Building a Rustic Outdoor Kitchen Station,Design station
Traditional Weathervane Crafting,Design weathervane figure
Painting (Canvas), Mix paints 
Crochet,Choosing crochet hook
Bread Baking (Artisanal),Let dough rise until doubled in size
Hand-spun Fiber Art,Spin fibers on spinning wheel
Quality Assurance in Manufacturing,Conducting compatibility tests
Crafting Custom Leather Book Covers with Celtic Knot Designs,Dye or paint
Making Hand-Stamped Leather Accessories,Dye or paint
Making Hand-Stamped Leather Bracelets,Dye or paint
Making Kimchi, Ferment kimchi in an airtight container for several days
Creating Handwoven Wall Hangings,Weave with various textures and colors
Wood Turning,Sand turned piece while on lathe
Butchering (Whole Animal),Break down large cuts
Knitting,Storing yarn and needles
Content Creation,Conducting interviews
Human Resources Administration,Conducting interviews
Hand-twisting of candy canes,Allow to cool and harden
Making Traditional Wool Rugs,Dye wool
Building a Model Airplane/Car, Paint or decorate the model 
Manual stirring of cooking pots,Ensure even cooking
Playing a Sport (advanced - specific sport), Refine athletic performance
Building Wooden Toy Boxes,Assemble using hinges for lid
Kombucha Brewing,Adding starter liquid from previous batch of kombucha
Ribbon Embroidery,Adding ribbon flowers or leaves using techniques like loop stitch
Custom Bicycle Building,Cut and miter tubes to fit
Handmade Pottery,Select clay type
Handmade Ceramics (Sculpting),Select clay type
Whittling,Carve away large sections first
Making Hand-Painted Ceramic Knobs for Cabinets,Prepare bisque knobs
Hand-rolling of sushi cones (temaki),Secure with a little water if necessary
Social Media Management,Scheduling posts
Mandala Drawing,Adding final touches and embellishments
Metal Jewelry Soldering,Checking final piece for strength and durability
Cigar Rolling,Labeling cigar
Hand-crafting of artisanal candles,Melt wax and add fragrance oils or dyes
Healthcare Appointment Scheduling,Communicating changes to staff
Hand-weaving of baskets,"Select basket-weaving materials such as reeds, vines, or grasses"
Hand-twisting of cotton candy,Pour melted sugar into cotton candy machine
Data Analysis,Performing hypothesis tests
Crafting Decorative Iron Gates,Weld pieces together
Creating Custom Bicycle Racks,Weld pieces together
Crafting Bespoke Metal Garden Gates,Weld pieces together
Building Custom Acrylic Aquariums,Cut acrylic panels
Artisan Cheese Aging,Monitor humidity and temperature in aging room
Travel Planning,Determining budgets
Hand Painting Porcelain,Paint with ceramic paints
Crafting Hand-Painted Decorative Plates,Paint with ceramic paints
Hand-painted Tableware,Paint with ceramic paints
Yoga,Flow through sequences
Handcrafted Incense Making,"Select natural ingredients (resins, herbs, oils)"
Leather-bound Photo Albums,Select and cut paper pages
Creating Personalized Pet ID Tags with Metal Stamping,Cut metal shapes
Creating Artisan Greeting Cards with Pressed Flowers,Design card layout
Japanese Woodblock Printing,Mix pigments
Crafting Artisan Fire Pits,Weld or mortar
Mosaic Art,Choose tiles and materials
Candle Making,Trimming wicks
Candle Making,Trimming wicks
Candle Dipping,Trimming wicks
Manual sharpening of razors,Test sharpness with hair or paper
Calligraphy,Practicing strokes
Calligraphy,Practicing strokes
Laundry Services,Offering eco-friendly options
Construction,Connecting utilities
Mosaic Art,Allowing grout to cure
Tatting (Lace Making),Tie off and cut thread
Crafting Handmade Soap Bars,Add fragrances and colors
Bookbinding,Fold signatures
Manual braiding of friendship bracelets,Select embroidery floss in desired colors
Gemstone Cutting,Networking with gemstone dealers
Inventory Replenishment,Confirming receipt of purchase orders
Engraving (Metal),Transfer to metal
Manual brewing of pour-over coffee,Allow coffee to drip into serving vessel
Digital Marketing Campaign Management,Measuring return on investment
Manual shaping of gingerbread cookies,Transfer cookies to baking sheet
Manual shaping of sugar cookies,Transfer cookies to baking sheet
Manufacturing Assembly,Optimizing workflows
Making Surfboards (Hand-Shaped),Glass with resin
Building a Portable Wood Campfire Stand,Cut and weld into folding design
Bead Weaving,Storing beadwork in protective pouch or container
Homemade Jam and Preserves,Measure fruit and sugar
Clinical Trials Management,Maintaining study documentation
Event Planning,Collecting RSVPs
Manual rolling of sushi rolls,Lay out nori sheet on bamboo rolling mat
Hand-making of sushi rolls,Lay out nori sheet on bamboo rolling mat
Manual rolling of sushi rolls,Lay out nori sheet on bamboo rolling mat
Pasta Making,Selling homemade pasta
Fishing,Prepping fishing gear
Knitting (advanced)," Use complex stitch techniques (cables, lace) "
Cheesemaking (advanced), Age cheese in controlled temperature and humidity conditions
Stargazing,Set up telescope
Birdhouse Building,Allowing paint or stain to dry
Engine Rebuilding,Clean & inspect parts
Crafting Handwoven Willow Baskets,"Weave base, sides, and rim"
Candle Making (Beeswax),Trimming wick
Coffee Roasting,Roast
Creating Custom Scented Beeswax Sachets,Melt beeswax
Creating Hand-Dipped Beeswax Taper Candles,Melt beeswax
Crafting Beeswax Candles,Melt beeswax
Making Hand-Dipped Beeswax Candles,Melt beeswax
Creating Handmade Beeswax Candles with Pressed Flowers,Melt beeswax
Creating Handmade Beeswax Wraps with Cotton Fabric,Melt beeswax
Creating Hand-Poured Scented Beeswax Crayons,Melt beeswax
Making Handcrafted Beeswax and Propolis Lip Balm,Melt beeswax
Charcoal Making (Traditional),Stack wood in kiln with air vents
Hand-stretching canvas for painting,Stretch canvas over bars and staple to back
Event Planning,Hiring performers
Medical Billing,Collecting patient information
Handmade Lace (Bobbin),Remove completed lace
Custom Guitar Building,Set up for playability
Bookbinding,Trimming edges
Bookbinding,Trimming edges
Historical Masonry,Apply sealant for weatherproofing
Custom Longboard Manufacturing,Cut and shape wood deck
Making Hand-Turned Wood Vases,Hollow out center
Business Expense Management,Maintaining records for tax purposes
Typewriter Repair,Replace ribbons & worn parts
Leather Dyeing,"Using brush, sponge, or airbrush to apply dye"
Financial Planning,Setting investment objectives
Crafting Bespoke Wire Sculptures,Join pieces as needed
Bread Baking,Punching down dough to release air bubbles
Naalbinding (Historical Knitting),Increase and decrease for shape
Manual Film Photography and Development,Remove film in darkroom
Fruit Preserving (Jam Making),Experimenting with unique fruit and spice combinations
Seed Saving,Promoting biodiversity and heirloom seed preservation
Martial Arts, Master techniques
Knitted Dishcloth Making,Washing and drying dishcloth for final finishing
Jewelry Making, Cut wire/chain 
Hand-stacking firewood,Gather firewood logs
Scrapbooking,Punching holes for binding
Leather Journal Making,Punching holes for binding
Seedling Transplanting,Handling seedlings by leaves or root ball
Marbling Art,Laying paper or fabric onto surface of size to transfer design
Cigar Rolling,Packaging cigars
Traditional Painting (Oil),Let layers dry between applications
Handcrafted Leather Goods (Making a Leather Wallet),Cut slots for cards
Painting (Canvas),Prep canvas 
Food Preservation (Smoking), Brine or marinate (optional) 
Sushi Rolling,Slice fish & vegetables
Woodblock Printing,Lift to reveal print
Hand-carved Printing Blocks,Lift to reveal print
Restaurant Service,Presenting bills
Pottery Glazing,Choosing glaze colors
Marbling Art,Pressing paper or fabric onto size to ensure even transfer
Handcrafted Soapstone Carving,Sand smooth with finer grits
Candle Dipping,Adding color to wax
Event Planning,Setting up sound systems
Handmade Tile Coasters,Glaze for color and waterproofing
Manual assembling of gift baskets,"Gather items to include in basket such as treats, gifts, and decorations"
Clay Sculpting,Bisque firing clay sculpture in kiln
Handmaking Wool Tapestry,Weave design
Vehicle Restoration, Repaint 
Crafting Traditional Spears,Attach point with sinew or glue
Perfume Making,Pouring finished perfume into bottles
Handcrafted Beer Brewing,Bottle or keg beer
Pasta Making,"Shaping pasta (e.g., ravioli, tortellini)"
Sewing,Hemming
Sewing,Hemming
Sewing,Hemming
Manual crafting of candles,Insert wick
Building a Handcrafted Potting Bench with a Sink,Sand and paint or stain
Data Analysis,Creating data dictionaries
Hand-rolling of cigars,Age cigars in humidor
Vehicle Maintenance,Inspecting catalytic converters
Forging Kitchen Knives,Heat and hammer to shape
Hand Forging Axes,Heat and hammer to shape
Hand Forging Garden Tools,Heat and hammer to shape
Pasta Making,"Cutting dough into desired pasta shapes (e.g., fettuccine, ravioli)"
Business Expense Management,Implementing cost control measures
Shoemaking (Leather Crafting),Stitch leather pieces
Creating Personalized Pet ID Tags with Metal Stamping,Stamp pet's name and contact info
Building a Custom Bicycle Wheel,Lace spokes
Building Windmills (Model Making),"Create moving parts (blades, axle)"
Manual shucking of oysters,Slide knife along underside to detach
Planting a Vegetable Garden, Sow seeds directly or in pots 
Clinical Trials Management,Designing clinical trials
Upholstery (Antique),Strip old fabric & padding
Crafting Custom Painted Garden Pots,Choose terracotta pots
Bookbinding,Gluing spine
Bookbinding,Gluing spine
Cigar Rolling,"Preparing leaves (e.g., moistening)"
Farm Harvesting,Weighing harvest bins
Heritage Plasterwork Restoration,Smooth with trowels for finish
Flintknapping, Shape tool
Glass Painting, Bake the painted glass to cure the paint
Making Hand-Dyed Shibori Fabric,Securely tie
Birdhouse Building,Monitoring birdhouse for occupancy
Leatherworking,Cut hide into workable pieces
Decoupage,Pressing out air bubbles
Wine Making,"Inspect for clarity, aroma, and flavor"
Custom Knife Making,Heat treat for hardness
Civil War Reenactment,Research a specific unit
Creating Artisan Salt Scrubs,Mix sea salt with carrier oil
Event Planning,Storing event supplies
Civil War Reenactment,Accurately portray soldier's life
Human Resources Administration,Maintaining HR databases
Vintage Car Restoration,Reupholster interior
Planting a Tree, Backfill with soil 
Hand-rolling dough for dumplings,Roll each portion into thin circles
Tailoring,Adjustments
Sewing,Adjustments
Manual decorating of wedding cakes,Cover tiers with fondant or buttercream icing
Creating Custom Bicycle Racks,Install and secure
Marbling Art,"Manipulating colors with tools (e.g., combs, skewers)"
Candle Making (Beeswax),Selling beeswax candles
Traditional Boat Building (Wooden),Plank hull
Lace Bobbin Making,Inspect for smoothness and usability in lace making
Legal Documentation,Drafting legal opinions
Ikebana (Japanese Flower Arranging),Choose focal flowers and branches
Cleaning Services,Vacuuming
Car Maintenance,Vacuuming
Wrought Ironwork,Weld joints where necessary
Building Customized Wood Fired Grills,Select heat-resistant materials
Creating Beeswax Food Wraps,Allow to cool and set
Basic Electrical,Install a ceiling fan
Winemaking, Age wine (depending on type)
Pottery Glazing,Inspecting finished glaze
Recruitment Process,Conducting orientation sessions
Stone Masonry,Select stones
Hand sorting of seeds,Collect seeds
Origami,Following origami diagrams
Upholstery,Assessing padding
Cookie Decorating,Researching cookie decorating techniques and trends
Pastry (Viennoiserie),"Shape croissants, danishes, etc."
Artisanal Kombucha Brewing,Add SCOBY and starter liquid
Seed Saving,Performing germination tests
Batik Fabric Dyeing,Rinse and dry fabric
Natural Fabric Dyeing,Rinse and dry fabric
Customer Support Ticket Resolution,Testing proposed solutions
